Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time,Image Link,,
What is the main advantage of using vector graphics instead of raster graphics to create animations?," The file sizes are relatively small, resulting in shorter download times.",Transfer delays are minimized because the animations download as streaming media.,Transfer delays are minimized because portions of animations are stored in your local disk cache.,"The file sizes are relatively large, allowing you to create highly elaborate animations.",1,,,,
Consider the following address: http://www.CIWcertified.com/Certifications/Foundations/iba.htm Which term best describes this address type?, Fully qualified domain name,Relative URL,Deep URL,IP address,3,,,,
Which audio file format is inherently supported by most browsers?, PDF,AVI,AU,MPEG,3,,,,
Consider the following address: http://www.CIWcertified.com/courses/iba.htm Which part of this address represents the server name on which this page resides?, www,.CIWcertifed.com,/courses/,.CIWcertified,1,,,,
Which statement about compressing JPEG files is true?," The more compression, the smaller the file size, but the lower the image quality.","The more compression, the larger the file size, but the higher the image quality.","The more compression, the larger the file size, but the lower the image quality.","The more compression, the smaller the file size, but the higher the image quality.",1,,,,
You want to be able to access active content directly from your browser. Which type of application provides the efficient integration of multimedia formats with a browser or computer that will enable you to do this?, Viewer,Object,Applet,Plug-in,4,,,,
"Which of the following plug-ins can be used to show MOV files, which can combine video, animation, text and audio into one file?", Adobe Reader,Windows Media Player,Adobe Flash Player,Apple QuickTime,4,,,,
A Uniform Resource Locator (URL) is an Internet address that performs which task?, Identifies the method by which an Internet resource is accessed,Identifies the search string used to locate an Internet resource,Locates an Internet resource using an e-mail server,Locates an Internet resource using a search engine,1,,,,
You recently returned from a vacation and you want to share some photos with your co-workers. You would like to share these photos via e-mail. What should you consider when attaching several high-resolution photos to an e-mail message?, Security,Privacy,File size,Transmission speed,3,,,,
"Sadie receives a verbally abusive voicemail from an angry customer who want to complain about a product, followed by several text messages from the customer asking why no one has returned his call yet. Sadie is due at a mandatory meeting with the company's executive managers. Which of the following is her best course of action?", She should not respond to the customer because he has communicated inappropriately.,"She should send a brief text message to the customer requesting that he send his complaints via e-mail, so that further inappropriate communication will be well documented.","She should send text messages to the customer during the meeting to placate him, and if he continues to be verbally abusive, it is acceptable for her to respond in the same abusive tone.",She should skip the meeting and call the customer immediately to resolve the problem with him.,2,,,,
"Cheryl just started using a new e-mail client on her laptop computer. She wants to send an e-mail message with an attachment, but she does not see a button labeled ""Attachment"" on the client interface. What icon is commonly used on e-mail clients to invoke the Attachment option?", Flag,Lock,Envelope,Paperclip,4,,,,
What is contained in your e-mail application's Outbox folder?, Messages that have been sent to you by others,Messages that have been marked for deletion,Messages that are queued for sending,Messages that you have sent to others,3,,,,
Which of the following is a drawback of requiring SMTP authentication?, The SMTP server will not send e-mail messages that are not digitally signed.,Chances are increased that a hacker can use a packet sniffer to obtain a valid user name and password.,The SMTP server may be used illicitly to send unsolicited junk mail.,Chances are increased that a hacker can use a packet sniffer to obtain a valid digital certificate from the session.,2,,,,
Why should you make judicious use of file attachments in e-mail messages?, Users will not be able to delete e-mail messages as long as files are attached to them.,File attachments cause e-mail threads to become longer than they already are.,Large file attachments can take a long time to download.,Attaching files to e-mail messages is not considered professional and should be avoided in the workplace.,3,,,,
Which of the following can be considered an inappropriate use of e-mail communication in the workplace?, Sharing files with a co-worker,Disclosing confidential information,Archiving e-mail threads for later retrieval,Documenting the progress of a project,2,,,,
Why should you create and use an e-mail signature for work-related e-mail messages?, Including an e-mail signature with your messages ensures the privacy of your e-mail messages.,An e-mail signature is a reminder to your recipients of your identity and the identity of your company.,Including an e-mail signature with your messages makes it easier to recall e-mail messages that have been sent in error.,An e-mail signature is an indication to your recipients that your e-mail messages are virus-free.,2,,,,
"Troy is project manager for a development team. After a short meeting to introduce a new project, he is preparing an e-mail message for his team that will assign some initial tasks to be completed that day. He has a list of action items for the team members to review and confirm. Which is the preferred approach to communicate important action items in an e-mail message?", Include emoticons to ensure the recipients understand your humor.,Write the action items using all capital letters.,Describe all action items at length in a detailed paragraph in the middle of the message.,List the action items in a numbered or bulleted list for clarity.,4,,,,
What does a closed-envelope icon next to an e-mail message header indicate?, A message that has not yet been read,A message that has already been read,A message marked for deletion,A message marked for follow-up,1,,,,
What distinguishes S/MIME from MIME?," S/MIME controls the way that messages and attachments are organized and distinguished from one another, whereas MIME supports encryption and the use of digital certificates.","S/MIME supports encryption and the use of digital certificates, whereas MIME controls the way that messages and attachments are organized and distinguished from one another.","S/MIME controls the way attachments are organized and distinguished from one another, and it supports encryption; whereas MIME controls the way messages are organized and distinguished from one another, and it supports the use of digital certificates.","S/MIME is designed specifically for servers, whereas MIME is designed specifically for individual clients.",2,,,,
Which protocol was developed as an extension of SMTP that allows users to exchange various types of data files over the Internet?, Pretty Good Privacy (PGP),Post Office Protocol (POP),Internet Message Access Protocol (IMAP),Multipurpose Internet Mail Extensions (MIME),4,,,,
You are part of a team that has been collaborating on a marketing document. The document is ready for final approval from the stakeholders. The team leader has sent the document to the stakeholders as an attachment to an e-mail. You notice that an important stakeholder was omitted from the recipient list. What should you do to ensure that the omitted stakeholder receives the document and receives future replies to the e-mail thread?, Use the Reply All feature and include the omitted stakeholder's e-mail address.,"Use the Forward feature, add the omitted stakeholder's e-mail address and include the other e-mail addresses from the original message to alert the team to the oversight.","Use the Forward feature to forward the message to the omitted stakeholder's e-mail address, then alert the team to the oversight in a separate message.",Use the Forward All feature and include the omitted stakeholder's e-mail address.,2,,,,
What is the purpose of an e-mail autoresponder?, To automatically attach your signature information to the end of every e-mail message you forward,To automatically attach your signature information to the end of every e-mail message you send,To send an automated response to e-mail messages that your system is configured to discard as spam,To send an automated response to e-mail messages received while you are out of the office for a planned absence,4,,,,
Kjell received an e-mail message on which several other individuals were copied. He wants to respond to this message in a way that will include everyone who was copied on the original message. Which steps should he take with this e-mail?," Click the Reply All button, enter his response, and click Send.","Open a New message, enter the e-mail addresses of all the recipients, enter his response, and click Send.","Click the Reply button, enter his response, and click Send.","Click the Forward button, enter his response, and click Send.",1,,,,
You want to send an e-mail message you received to another user who did not receive the original message. Which is the best way to do this?, Ask the sender to re-send the original message and include the omitted user.,Forward the message.,Reply to the message.,"D, Copy the message text into a new message and send it to the omitted user.",2,,,,
Lisa is configuring an e-mail client to connect to her e-mail account. Which of the following is required to set up the e-mail account?, An FTP server address,A DNS server address,An HTTP address,A POP3 address,4,,,,
"Todd replaced his mobile phone with an upgraded unit, and now must reconfigure many of the services. The instructions say that he can enter his e-mail address and the unit will configure the e-mail client for him. Todd has tried this several times, but it does not work. He calls the vendor's help desk. The technician says that because Todd is trying to sync his e-mail account with an enterprise mail server, he will need to configure the e-mail client manually. What information does Todd need to configure the e-mail client?"," E-mail address, SMTP, POP3, user name and password","Company URL, e-mail address, SMTP, POP3 and IMAP","Company IP address, DNS, e-mail address, SMTP and IMAP","E-mail address, POP3, IMAP, user name and password",1,,,,
When would be the most appropriate time to discontinue an e-mail thread?, When new issues pertaining to a topic arise and a lengthy thread already exists,When continuing an e-mail discussion by building upon an existing thread,When forwarding the e-mail thread to a user who had not previously been included as a recipient of the thread,"When replying only to the original sender, who should have his/her own copy of the existing thread",1,,,,
Which choice describes the file type(s) that can be attached to an e-mail message?, Only image files can be attached to e-mail messages; any text must be placed in the body of the message.,E-mail messages do not support attachments of any type unless you use a browser to transmit them.,"Almost any type of file can be attached to e-mail messages, such as documents, spreadsheets, presentations or images.","Any type of file can be attached to an e-mail message, but only if the file is first compressed using a file compression utility.",3,,,,
Pretty Good Privacy (PGP) and Gnu Privacy Guard (GPG) are both used to encrypt:, e-mail messages and their Subject fields.,"authentication sessions, in which you enter your user name and password to sign on and to receive and send e-mail.",e-mail message Subject fields and e-mail attachments.,e-mail messages and their attachments.,4,,,,
For which type of server -- used by your e-mail client -- is it especially important that you archive e-mail messages to your local hard drive?, SMTP server,IMAP server,MIME server,POP3 server,2,,,,
"In a business environment, in which situation would e-mail be more appropriate for communicating than texting?", Sending a message to a friend about meeting at the ballgame later that evening,Sending a message to your supervisor informing her that you are running late for a meeting,Sending a contract to your supervisor for her review and advice,Sending a message to a co-worker about a special delivery at the front desk,3,,,,
Which action can you perform to filter spam at your client computer?, Use a client-side filter to identify and filter spam messages.,Use CAPTCHA to distinguish human senders from automated senders.,"Use SMTP authentication, which requires a valid name and password for each message.",Configure your system to filter IP addresses contained in the latest blackhole list.,1,,,,
Why can it be advantageous to write e-mail folders to files on your computer's local disk?, You will be able to more easily ensure that your e-mail messages are virus-free.,Your e-mail will be more easily transportable from one computer to another.,Your e-mail will be more easily integratable with a personal information management (PIM) program.,You will be able to more easily filter out spam.,2,,,,
"Mark's co-worker sent him a joke via e-mail. Mark thought the joke was quite funny, and he forwarded it to several other co-workers that he knows will be amused as well. Later that day, the Human Resources Manager calls Mark to her office to discuss a problem reported to her regarding the forwarded e-mail. Which problem has Mark most likely encountered by forwarding the e-mail message?", He offended someone because he did not include everyone in the office who would enjoy the joke.,He committed copyright infringement by not citing credit to the originator of the joke.,He reduced the effectiveness of the company's spam filters with frivolous e-mail messages.,He offended a recipient who received the joke as a result of further forwarding.,4,,,,
Which protocol do e-mail programs use to identify the file types of attached files?, POP3,MIME,IMAP,SMTP,2,,,,
"To what does the term ""netiquette"" refer?"," A set of guidelines that encourage common sense, politeness and general rules for e-mail messages",An international convention banning the use of profanity and controversial opinions from e-mail messages,A set of typographical conventions that govern user practices in e-mail messages,A set of U.S. laws that specify content forbidden from transmission in e-mail messages,1,,,,
"You are updating company guidelines regarding professional communication via e-mail. To dispel the impression of shouting or anger, users should:", avoid typing messages in all capital letters.,make appropriate use of emoticons to convey a businesslike tone.,make appropriate use of abbreviations to convey a businesslike tone.,avoid typing messages in all lowercase letters.,1,,,,
"In e-mail applications, where are incoming messages automatically routed by default?", To the Outbox folder,To the Deleted Items folder,To the Inbox folder,To the Sent Items folder,3,,,,
You have been contracted to write an article about social networks for a magazine. You have finished writing the article and are ready to send your draft to the magazine editor. Which is the most appropriate way to do this?, Text message,Twitter tweet,E-mail,Facebook post,3,,,,
"Josh is expecting a very important file from a co-worker in a remote office to be sent to him through e-mail, but he has not received the file. He calls the co-worker, who informs him that she sent the file yesterday and will send it again immediately. Josh still does not receive the e-mail message, so he contacts Technical Support. They find the e-mail from the co-worker in the spam folder of Josh's e-mail client. It has an attachment named salesnumbers.exe. What is the most likely reason that the e-mail message was filtered out?", The file name of the attached file exceeds the file name length of the e-mail filter policy.,E-mail servers automatically block messages from remote offices from internal e-mail.,A file attachment with an .exe extension may contain malicious code.,The attachment's file size exceeded the limits of the e-mail filter policy.,3,,,,
What is the most appropriate way e-mail can be used in the workplace?, To send quick messages and alerts,To share files and to document and track the progress of projects,To maximize the use of the company's ISP services,"To access cloud-based applications, thereby minimizing software expenditures",2,,,,
"Because file attachments may contain malicious code that can be used to damage or infiltrate systems, your company routinely scans all file attachments in incoming e-mail. Where does attachment scanning take place?"," At the client, usually just after the message has been received via SMTP","At the client, usually just after the message has been received via POP3","At the server, usually just after the message has been received via SMTP","At the server, usually just after the message has been received via POP3",3,,,,
"Marja works for a small but growing company. She has been assigned to make several international sales trips to visit prospective customers. The company does not have an enterprise mail server with Web mail access. Her IT department is looking for a solution so that Marja can check her e-mail as she travels. Which of the following should the company choose for the most effective, economical and efficient solution?"," Configure a free Web-based e-mail account that Marja can access anywhere, and forward her e-mail to that account while she travels.",Configure an auto-response message on Marja's e-mail account notifying senders that Marja will be out of the country and will respond to their messages when she returns.,"Assign an assistant to check Marja's e-mail, discuss the messages with her over the phone, and then reply as needed.","Have Marja forward her e-mail to the customer she will be visiting, who can then provide her access to her messages while she is in their office.",1,,,,
Which is the best method for sending a word-processor document to another person via e-mail?," Send the document to your ISP, which will, in turn, send it the other person.",Send an e-mail message to the person telling her where she can access the document.,Copy the contents of the document to the body of the e-mail message.,Attach the document to the e-mail message as a file attachment.,4,,,,
What happens to the e-mail messages you receive while the autoresponder feature is enabled?, The messages are stored in your Outbox until you disable the autoresponder feature and manually retrieve the messages to your Inbox.,The messages are returned to the senders with the automatic reply message you specified.,The messages are automatically sent to your Deleted Items folder.,The messages are stored in your Inbox as usual.,4,,,,
What must an e-mail message include in order for you to send it?, At least one address in the To field,At least one character in the Subject field,"At least one address in the To field, one character in the Subject field and one character of body text",At least one character of body text,1,,,,
Which choice best describes the purpose of the Bcc e-mail message component?, The Bcc field contains a brief description of the message content.,The Bcc field contains e-mail address(es) of additional message recipient(s) that do not appear in the message header and are not visible to other recipients.,The Bcc field contains the e-mail address(es) of primary message recipient(s).,The Bcc field contains the e-mail address(es) of additional recipient(s) to whom you want to send a copy of the message.,2,,,,
"If you have set up Web-based e-mail, you can:", send e-mail messages only if you attach digital certificates to them.,log on and check your e-mail from any computer that has Internet access.,"download file attachments, even in the absence of MIME.",log on and check your e-mail only if you have purchased Internet service from an ISP.,2,,,,
"You have just finished a very important sales meeting with a potential customer, and you need to update your supervisor at the corporate office, which is located in another country. You are debating whether to text or e-mail your supervisor about the meeting details. Which of the following would be the best practice for communicating with your supervisor?"," Post the details of the meeting on your favorite social media platform, where your supervisor is one of your followers.","Send a brief text message to say the meeting has finished, because you know that your supervisor does not read e-mail.","Send a brief text message update now, and then send the meeting details in an e-mail message later.",Send several text messages in order to convey all the details of the meeting most quickly.,3,,,,
What does it mean to configure an e-mail client?, You must provide the name of your ISP and the mail servers used by your ISP.,You must identify yourself and provide the name of your ISP.,"You must identify your operating system and the protocol used, and provide the names of the mail servers used by your ISP.","You must provide the user name given by the ISP, and provide the names of the mail servers used by your ISP.",4,,,,
You need to send a message to your manager providing all the details of a business proposal as quickly as possible. The idea you have discussed with her is critical to the business. The project is considered urgent and confidential. What would be the most appropriate way you could use an SMS (text) message in relation to this proposal?, To send the proposal as an attachment to the text message,To send a brief summary of the proposal to your manager so that she has it available during a presentation,To provide a detailed outline of the proposal so that your manager can refer to it as she travels,To alert your manager that you have sent the proposal via e-mail so your manager can view the proposal as soon as possible,4,,,,
You send an e-mail message to a co-worker to help plan a surprise going-away party for a mutual friend before she embarks on a six-month around-the-world cruise. Which statement reflects your right to e-mail privacy?, You can send e-mail to anyone using company equipment and Internet connections without fear of reprisal as long as you include someone from the company as a recipient.,You can send e-mail to anyone using company equipment and Internet connections without fear of reprisal as long as you include your immediate supervisor as a recipient.,"Your supervisor has no right to read e-mail you send, even if you send it using company equipment and Internet connections.",Your supervisor has the right to read e-mail you send using company equipment and Internet connections.,4,,,,
"If you use your Web browser's built-in FTP client, which FTP command would you need to use to download a file from your company's FTP site?", You would not need to use any FTP commands.,"You would need to use the ""get"" command.","You would need to use the ""put"" command.","You would need to use the ""open"" command.",1,,,,
You visit the Web site of a business from which you make online purchases and set up an account on your smartphone. The site requests your mobile phone number in order to send you promotional text messages. What type of service does this scenario describe?, A listserve subscription service,A Virtual Network Computing (VNC) service,An opt-in mass texting service,An opt-in e-mail marketing service,3,,,,
"You are hosting a lunch meeting at a local restaurant for 15 of your roving salespeople. An hour before meeting time, the restaurant calls to tell you that the party room will not be available for at least an hour later than scheduled. You call another restaurant in the area, which can make its party room available in one hour for your lunch meeting. You make a reservation with the new restaurant for the same time and cancel the other. What is the best way to alert each salesperson about the new restaurant location?", Send a text message with the new restaurant location to the mobile phones of all the salespeople.,Call each salesperson and leave a voicemail message with the location of the new restaurant.,Ask the manager of the first restaurant to tell the salespeople about the new restaurant location when they arrive at the first restaurant as scheduled.,Post an announcement to the company's Web site with the location of the new restaurant.,1,,,,
Which term is used to describe the 140-character updates broadcasted by Twitter users to their followers?, Posts,Tweets,Mashups,Instant messages,2,,,,
Which service involves allowing a trusted person at a remote location to connect to your computer and view your screen?, Crowdsourcing,Blogging,Windows Remote Assistance,Instant messaging (IM),3,,,,
Which of the following is a P2P application that you can use to download huge files because it dramatically reduces the demands on networking hardware and bandwidth?, SSL/TLS-enabled FTP (FTPS),Secure Copy (SCP),SSH File Transfer Protocol (S/FTP),BitTorrent,4,,,,
Cleo's boyfriend sent her an e-mail message at work with details about a highly personal matter. The message was sent to Cleo's company e-mail address. Her boyfriend requested that she respond as soon as possible. Why should Cleo call her boyfriend to discuss the matter over the phone instead of responding in an e-mail message?, Because she has several questions and it will take too long to discuss via e-mail,Because her employer has the right to read her e-mail,Because it is illegal to use company e-mail for personal use,Because e-mail is completely private but not personal enough,2,,,,
You want to attend a training session remotely. The presenter has recommended an application for you to download that uses VoIP audio technology so you can interact with the presenter and the other participants. Which Web-based system does this scenario describe?, Web conference,Extranet,Webcast,Intranet,1,,,,
What distinguishes instant messaging from e-mail?, Instant messages can be sent only to contacts who are currently online.,You do not need access to a network in order to send and receive instant messages.,Instant messages can be sent to contacts whether they are online or not.,Instant messages can display responses only when you click the Send/Receive button.,1,,,,
"You want to receive e-mail messages, announcements and advertising on a regular basis about digital animation. Which action could you take to accomplish this?", Bookmark a digital animation Web site on your favorite browser.,Set your browser's home page to a digital animation Web site.,Join a newsgroup about digital animation.,Subscribe to a listserve group about digital animation.,4,,,,
You visit the Web site of a company from which you make online purchases and consent to receive e-mails regarding special promotions and other types of updates. What type of service does this scenario describe?, An opt-in e-mail marketing service,A Virtual Network Computing (VNC) service,A listserve subscription service,An opt-in mass texting service,1,,,,
Which of the following statements best describes text messaging?, A method of person-to-person communication in which users post personal thoughts on a public Web site,A method of person-to-person communication in which users seek assistance from another user in a remote location,A method of person-to-person communication in which users type short text messages from mobile phones,A method of person-to-person communication in which users type short text messages from remote computers,3,,,,
Virtual Network Computing (VNC) is a program that allows you to control a computer at a remote location. VNC consists of which two components?, The server and the viewer,The client and the server,The client and the viewer,The TCP/IP network and the P2P application,1,,,,
Companies increasingly want to allow employees to share files directly without having to maintain servers to provide FTP access. Which technology can companies use to maximize processing power while protecting privacy and sensitive materials?, Peer-to-peer networks on the Internet (P2P),SSL/TLS-enabled FTP (FTPS),Secure Copy (SCP),SSH File Transfer Protocol (S/FTP),1,,,,
Which term is used to describe a network in which each computer has both server and client capabilities?, Wide area network,Peer-to-peer network,Ethernet network,Local area network,2,,,,
What is an anonymous FTP site?," An FTP site that requires a user name and password for access, but is hosted anonymously","An FTP site that does not require authentication for access, but is not available to the public","An FTP site that requires a user name and password for access, but is not available to the public","An FTP site that does not require authentication for access, and is available to the public",4,,,,
"Which term is used to describe a computer-based method of communication in which users can type and view informal messages sent to one or more recipients, and view the responses immediately?", E-mailing,Virtual Network Computing (VNC),Blogging,Instant messaging (IM),4,,,,
For which of the following is the Short Message Service (SMS) communication protocol required?, Mobile computing,Instant messaging (IM),Voice over IP (VoIP),Text messaging,4,,,,
Two requirements are necessary to upload files to an FTP site. One requirement is gaining access to an FTP client program. What is the other requirement?, An encrypted authentication session,Permission to upload,A valid user name and password,Access to an anonymous FTP site,2,,,,
"Johann uses instant messaging (IM) to frequently communicate with his team members, as well as with close friends. Recently, Johann was surprised that he started receiving spam during his IM sessions. Which statement would explain why Johann could receive spam during an IM session?"," Instant messaging runs on mobile devices, which are less secure than standard PCs.",Instant messaging bypasses users' presencing settings.,Instant messaging bypasses anti-virus software and firewalls.,"Instant messaging runs on standard PCs, which are less secure than mobile devices.",3,,,,
"Using command-line FTP on a Windows system, how do you gain access to an FTP server?", Double-click the icon that represents the FTP server.,"Enter the ""open"" command at the MS-DOS prompt.","Enter the ""put"" command at the MS-DOS prompt.","Enter the ""get"" command at the MS-DOS prompt.",2,,,,
"Frankie works on the IT team at her company. She is looking for ways to reduce costs, so she suggests that the company uses P2P to facilitate sharing of information, instead of maintaining servers with FTP access. To protect its confidential data while benefiting from P2P, the company should:", implement technologies that will control access and password-protect files.,forbid employees to use their computers in P2P communications.,limit P2P use to sharing only music files.,limit P2P use to sharing only with universities and research organizations.,1,,,,
Which of the following is an example of ethical Internet behavior?, Downloading any songs and movies from the Internet,"Downloading and using shareware, which is free",Citing information you find on the Internet that you use in your own work,Requesting personal information about others during an Internet chat session,3,,,,
Which of the following statements is true about Voice over IP (VoIP)?, VoIP is the primary means by which users communicate with contact centers.,VoIP is voice information delivered in digital form as packets of data using Internet Protocol (IP).,VoIP is voice information delivered in digital form as packets of data using the public switched telephone network (PSTN).,VoIP is the primary means by which users communicate with call centers.,2,,,,
Why should you avoid typing e-mail messages in all capital letters?, Because all capital letters may be ignored by some e-mail clients,Because messages containing all capital letters require more bandwidth to transmit,Because using all capital letters connotes shouting or anger,Because visually impaired readers have trouble reading all capital letters,3,,,,
"When you sign in to your instant messaging (IM) service, your online status is advertised (or published) to the people on your contacts list. What does this scenario represent?", Presencing,Unified communications (UC),Convergence,Mobile computing,1,,,,
"You and other parents are attending Back To School Night at your son's school. During his presentation about this year's curriculum and goals, your son's teacher talks about the dangers of the Internet. Which of the following should he include in his recommendations to the parents?", Remind the parents that the anonymity of chat rooms provides security for their children.,"To minimize the parents' fear, tell the parents that the threat of predators has been reduced in recent times.",Urge the parents to warn their children to never provide personal information over the Internet.,Direct the parents to visit their children's chat rooms and ask the other users to provide identification.,3,,,,
"You make it a point to send e-mail messages, text messages and instant messages that are considered ""safe for work."" This is a good way to ensure that your messages:", abide by the rules of netiquette.,will not be construed as sexual harassment.,will not be deleted by anti-virus software.,are compatible with unified communications technologies.,2,,,,
Unified communications (UC) is a business trend that seeks to:, process a large volume of requests by phone.,simplify and integrate all forms of communication.,convert voice into data packets for transmission over a packet-switched IP network.,integrate telephony and data technologies.,2,,,,
Which of the following behaviors is considered to have the most personal risk associated with it when using social media?, Expressing a strong opinion in a blog post,Agreeing to write status updates for a popular celebrity,Engaging in a chat room conversation with someone you have recently met online,Agreeing to meet someone in person after getting acquainted on Facebook,4,,,,
"Some Internet practices are illegal (they violate laws and are punishable), whereas other practices may be legal but are still unethical and should be avoided. Which of the following practices is both legal and ethical?", Downloading copyrighted artwork and using it as a background on your Web site.,Trying shareware for free and paying for it only after you decide to keep using it.,"Copying someone else's written work from the Internet and presenting it as your own, as long as it is for schoolwork.","Downloading music and motion pictures, as long as they are from a peer-to-peer network.",2,,,,
Which of the following would be considered an effective Internet communication when posting messages to a newsgroup?," A message that contains a detailed discussion of the topic, and includes any relevant e-mail threads",A message that contains emoticons to help convey the desired tone,"A message that is pertinent, appropriate and brief",A message that contains jokes to lighten the mood,3,,,,
Which of the following Internet communication practices is unethical but not illegal?, Asking another user in a chatroom for personal information,Posting artwork you copied from the Internet on your Web site and claiming it is your own,Posting false and hurtful claims about another person on your Facebook page,Copying the code for a specialized application from another site and using it on your site without permission,1,,,,
Which of the following behaviors would be considered unethical?, Using your personal Twitter account to recommend your company's newest product to your friends,Using your company's Facebook page to market your company's newest product,Using your company's Twitter account to solicit and discuss opinions from your company's customers,Using your personal Facebook page to make disparaging remarks about your boss,4,,,,
"As part of the IT department, you configure the employee workstations for your company. When configuring a user's system, you always set the browser security levels to the company standard settings. What is restricted from downloading to the user's system when you configure browser security levels?", Pop-up windows,Cookies,Active content,Pop-under windows,3,,,,
What is the common term for the default page that appears when a browser is initially opened?, The favorites page,The bookmarks page,The home page,The welcome page,3,,,,
"You work for your company's IT department diagnosing and servicing the employees' workstations. A user complains that since she has been conducting a lot of research online, performance is slowing. You increase the size of her browser cache. Why might performance slow if the browser cache is too small?"," Because a small cache size may slow other computer processes, such as disk defragmentation and virus scans",Because the browser must search through possibly tens of thousands of cached files to locate a specific page,Because the user may spend a lot of time waiting while pages download from the server,Because it will take longer to complete cache maintenance tasks when the user quits the browser,3,,,,
Which TCP/IP troubleshooting command should you use to determine whether a client and server are communicating with each other?, The ipconfig command,The ping command,The tracert command,The ifconfig command,2,,,,
Which of the following improves the speed of your browser because it allows you to view previously accessed Web pages without having to request them from the server again?, The browser cache,The Favorites folder,The History folder,Pop-up windows,1,,,,
What is the purpose of Bookmarks and Favorites?, Bookmarks and Favorites allow you to create links between your favorite Web sites that only your browser will recognize.,Bookmarks and Favorites allow you to save frequently accessed URLs in your browser for quick reference.,Bookmarks and Favorites allow you to easily view the source code of Web pages whose designs you want to emulate.,Bookmarks and Favorites allow you to set default Web pages that will appear each time you launch your browser.,2,,,,
A cookie is a text file that is placed on a Web site visitor's computer. Cookies allow a Web site manager to:, customize the frequency with which the site visitor's browser cache checks for newer pages.,customize the security options on the site visitor's browser.,customize the browser cache size on the site visitor's computer.,customize the site to the site visitor's Web browsing preferences.,4,,,,
"Where are downloaded files (such as Web pages, images, fonts, etc.) saved on a computer?", The History folder,The browser,The hard drive,The desktop,3,,,,
How does a proxy server protect a corporate network from unwanted Internet activity?, A proxy server runs only the corporate extranet.,"A proxy server replaces the network IP address with another, contingent address.",A proxy server runs only the corporate intranet.,A proxy server restricts users by requiring a user name and password for every transmission.,2,,,,
What is the purpose of the History folder?, It allows you easy access to previously viewed Web pages.,It allows you to view a Web page's source code.,It allows you to design a Web page.,It allows you to perform a keyword search.,1,,,,
Which cookie type remains on your system after you end your browser session?, Third-party cookie,Session cookie,Persistent cookie,First-party cookie,3,,,,
You decide to increase the size of the browser cache and change the frequency with which your Web browser compares cached pages to those on the Web. What problem are you experiencing that would cause you to perform these actions?, Your computer has an inability to store authentication information.,Your computer has a slow connection.,Your computer has a low-resolution monitor.,Your computer is low on disk space.,2,,,,
Which term is used to describe an application that installs hidden services on a system that enables the attacker to monitor and control the operation of the system?, Illicit server,Virus,Worm,Trojan,1,,,,
Non-repudiation is the security principle of providing proof that a transaction occurred between identified parties. Which of the following can you use to enforce non-repudiation in an electronic data transfer?, Encrypted key,Firewall,Digital certificate,Digital signature,4,,,,
Which term is used to describe the process that converts data into an unreadable form of text?, Decryption,Certification,Authentication,Encryption,4,,,,
Which statement best describes hash encryption?, An encryption method in which a key is required to encrypt data for storage and verify its integrity,An encryption method in which numbers generated by an algorithm from a text string are used to verify the integrity of transmitted messages,An encryption method in which the same key is used to encrypt and decrypt a message,An encryption method in which two separate keys -- a private key and a public key -- are used to encrypt and decrypt a message,2,,,,
Which statement correctly compares computer viruses and worms?," A worm requires user action to replicate, but a virus can replicate by itself.","A virus requires user action to replicate, but a worm can replicate by itself.","A worm can deposit an illicit server, but a virus cannot.","A virus can deposit an illicit server, but a worm cannot.",2,,,,
"You were replying to e-mail when suddenly your computer started to display random messages, and stopped responding to keyboard and mouse input. You suspect that you have accidentally downloaded a virus. Which of the following actions most likely caused this?", You opened an e-mail attachment.,You sent an e-mail message with an attachment to a co-worker.,You logged in to your company's portal.,You printed a file that was stored on your hard drive.,1,,,,
Which term best describes a file of programming code that provides a temporary fix to a known bug?, Algorithm,Update,Patch,Firewall,3,,,,
You receive an unexpected e-mail with an attachment from a co-worker. You call the co-worker to ask if she sent you an e-mail message with an attachment. She recalls that she sent several e-mails with attachments earlier that day. Which of the following is your co-worker's best response to your question?, She should ask you to forward the e-mail to her so she can open the attachment and check it.,She should ask you to open the attachment and describe its contents.,She should ask you to read her the e-mail message including the full name of the attachment and its extension.,She should ask you to forward the e-mail to your company's management.,3,,,,
What do encryption applications do to render text unreadable?, Scramble text using benign viruses,Compress the text so that only abbreviated portions of words remain,Remove all formatting and punctuation from the text,Scramble text using mathematical algorithms,4,,,,
You suspect that an attacker has gained control of your computer system. What action should you take next?, Run anti-virus software on all disks associated with this system.,Shut down the computer.,Enable strong encryption on all files on the hard disk.,Unplug the computer network cable and/or disable the computer's wireless NIC.,4,,,,
Which term is used to describe a program that appears to be harmless but actually produces malicious or harmful results?, Trojan,Virus,Firewall,Worm,1,,,,
"Bob opened an e-mail attachment and it launched a virus. The virus took control of his system, and now he is unable to run his anti-virus software. What should he do next?", Call his local authorities to report computer fraud.,Turn off his computer and reboot from a clean system disk.,Let the virus run and hope that the damage is minimal.,Attach his backup drive and try to back up important files as quickly as possible.,2,,,,
Which term best describes a collection of software tools that provide a permanent solution to known program bugs?, Algorithm,Firewall,Update,Patch,3,,,,
Which of the following is the most common method for spreading viruses?, Downloading files,Swapping disks or drives,Opening attachments,Installing programs,3,,,,
